strategy_name,role,symbol,hall_status,research_score,live_score,learning_score,evidence_strength,evidence_label,research_weight,live_weight,live_trade_count,live_wins,live_losses,live_win_rate_percent,live_total_pnl_dollars,live_profit_factor,live_expectancy_percent,hall_score,hall_profit_factor,hall_drawdown_percent,hall_consistency_percent,hall_return_percent,learning_status,recommendation,suggested_allocation_multiplier,reasons
ARENA-0040,LONG,MULTI,FINALIST,71.485,50.0,71.485,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.3553,2.233,1.2791,0.0,8.5316,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0043,LONG,MULTI,FINALIST,71.485,50.0,71.485,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.3553,2.233,1.2791,0.0,8.5316,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0045,LONG,MULTI,FINALIST,71.3789,50.0,71.3789,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.5952,2.2754,1.7676,0.0,8.9092,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0001,LONG,MULTI,MULTI_MARKET_FINALIST,70.6722,50.0,70.6722,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,32.7391,1.5105,1.8614,77.78,2.5407,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0081,LONG,MULTI,FINALIST,70.4993,50.0,70.4993,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,53.0156,2.476,2.1475,0.0,8.5872,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0115,LONG,MULTI,MULTI_MARKET_FINALIST,70.4417,50.0,70.4417,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,32.6585,1.5076,1.4523,77.78,2.0539,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0117,LONG,MULTI,FINALIST,70.1147,50.0,70.1147,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,58.8061,3.3351,1.1387,0.0,7.3533,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0114,LONG,MULTI,FINALIST,69.8613,50.0,69.8613,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,57.9365,3.2748,1.1387,0.0,7.1596,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0135,LONG,MULTI,FINALIST,69.6257,50.0,69.6257,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,56.7643,3.1368,1.3837,0.0,7.202,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0499,LONG,MULTI,MULTI_MARKET_FINALIST,69.4201,50.0,69.4201,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,31.9175,1.496,1.2623,77.78,1.6216,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0132,LONG,MULTI,FINALIST,69.3738,50.0,69.3738,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,55.9302,3.0809,1.3837,0.0,7.0086,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0240,LONG,MULTI,FINALIST,69.3146,50.0,69.3146,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.9049,2.7255,1.7134,0.0,7.2641,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0807,LONG,MULTI,FINALIST,69.3146,50.0,69.3146,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.9049,2.7255,1.7134,0.0,7.2641,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0126,LONG,MULTI,FINALIST,69.3118,50.0,69.3118,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,55.2519,3.0257,1.3837,0.0,6.961,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0112,LONG,MULTI,FINALIST,69.1759,50.0,69.1759,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,56.5381,3.231,1.1387,0.0,6.6356,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0115,LONG,MULTI,FINALIST,69.1759,50.0,69.1759,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,56.5381,3.231,1.1387,0.0,6.6356,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0123,LONG,MULTI,FINALIST,69.0604,50.0,69.0604,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,54.4279,2.971,1.3837,0.0,6.768,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0130,LONG,MULTI,FINALIST,68.9118,50.0,68.9118,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,54.9389,3.0467,1.2145,0.0,6.5016,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0133,LONG,MULTI,FINALIST,68.9118,50.0,68.9118,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,54.9389,3.0467,1.2145,0.0,6.5016,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0003,LONG,MULTI,MULTI_MARKET_FINALIST,68.1993,50.0,68.1993,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.947,1.4345,2.1027,77.78,2.5672,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0005,LONG,MULTI,MULTI_MARKET_FINALIST,68.1662,50.0,68.1662,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.9013,1.4345,2.1027,77.78,2.5672,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0122,LONG,MULTI,MULTI_MARKET_FINALIST,67.7837,50.0,67.7837,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.279,1.481,1.5043,77.78,1.6451,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0016,LONG,MULTI,MULTI_MARKET_FINALIST,67.6348,50.0,67.6348,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.5408,1.4247,2.4013,77.78,2.7214,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0018,LONG,MULTI,MULTI_MARKET_FINALIST,67.6033,50.0,67.6033,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.497,1.4247,2.4013,77.78,2.7214,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0014,LONG,MULTI,MULTI_MARKET_FINALIST,67.5002,50.0,67.5002,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.361,1.4019,1.7784,77.78,2.3669,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0010,LONG,MULTI,MULTI_MARKET_FINALIST,67.2466,50.0,67.2466,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.1945,1.4,2.2955,77.78,2.7481,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0012,LONG,MULTI,MULTI_MARKET_FINALIST,67.2148,50.0,67.2148,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.1504,1.4,2.2955,77.78,2.7481,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0031,LONG,MULTI,MULTI_MARKET_FINALIST,66.8769,50.0,66.8769,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,30.1559,1.3722,2.1557,77.78,2.6161,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0109,LONG,MULTI,MULTI_MARKET_FINALIST,65.8907,50.0,65.8907,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,29.8996,1.5398,1.4523,66.67,1.8891,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0025,LONG,MULTI,MULTI_MARKET_FINALIST,65.8433,50.0,65.8433,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,28.5792,1.4508,2.098,77.78,1.911,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0008,LONG,MULTI,MULTI_MARKET_FINALIST,65.2977,50.0,65.2977,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,28.8707,1.3141,1.8116,77.78,2.3548,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0050,LONG,MULTI,MULTI_MARKET_FINALIST,64.706,50.0,64.706,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,29.0751,1.3344,1.9631,77.78,1.7225,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0285,LONG,MULTI,MULTI_MARKET_FINALIST,64.2018,50.0,64.2018,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,27.8618,1.8586,1.5496,44.44,2.9988,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0287,LONG,MULTI,MULTI_MARKET_FINALIST,64.1801,50.0,64.1801,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,27.8321,1.8586,1.5496,44.44,2.9988,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0043,LONG,MULTI,MULTI_MARKET_FINALIST,64.1232,50.0,64.1232,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,27.9128,1.1895,1.8854,88.89,1.1333,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0049,LONG,MULTI,MULTI_MARKET_FINALIST,64.0679,50.0,64.0679,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,28.2361,1.3628,1.809,77.78,1.3019,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0493,LONG,MULTI,MULTI_MARKET_FINALIST,63.5632,50.0,63.5632,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,28.405,1.4552,1.4523,66.67,1.734,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0495,LONG,MULTI,MULTI_MARKET_FINALIST,62.5348,50.0,62.5348,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,26.0525,1.5767,1.4523,66.67,1.1278,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0497,LONG,MULTI,MULTI_MARKET_FINALIST,62.4805,50.0,62.4805,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,25.9783,1.5767,1.4523,66.67,1.1278,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0044,LONG,MULTI,MULTI_MARKET_FINALIST,61.3926,50.0,61.3926,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,26.7562,1.2777,2.0003,77.78,1.0199,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0067,LONG,MULTI,MULTI_MARKET_FINALIST,60.7075,50.0,60.7075,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,26.041,1.3866,1.9158,66.67,1.8843,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0123,LONG,MULTI,MULTI_MARKET_FINALIST,60.1816,50.0,60.1816,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,26.0503,1.4023,1.849,66.67,1.2709,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
